weekday,direction,metric,weekpart,season,sum_flow,sample_count
Fri,Eastbound Right Lane,total_flow,Weekday,Autumn,1250014.0,110
Fri,Eastbound Right Lane,total_flow,Weekday,Spring,1351400.0,115
Fri,Eastbound Right Lane,total_flow,Weekday,Summer,1446106.0,118
Fri,Eastbound Right Lane,total_flow,Weekday,Winter,1046140.0,90
Fri,Eastbound Right Lane,trt,Weekday,Autumn,0.0,110
Fri,Eastbound Right Lane,trt,Weekday,Spring,0.0,115
Fri,Eastbound Right Lane,trt,Weekday,Summer,0.0,118
Fri,Eastbound Right Lane,trt,Weekday,Winter,0.0,90
Fri,Eastbound Right Lane,ucv,Weekday,Autumn,11.0,110
Fri,Eastbound Right Lane,ucv,Weekday,Spring,8.0,115
Fri,Eastbound Right Lane,ucv,Weekday,Summer,13.0,118
Fri,Eastbound Right Lane,ucv,Weekday,Winter,7.0,90
Fri,Westbound Centre Lane,art3,Weekday,Autumn,2231.0,110
Fri,Westbound Centre Lane,art3,Weekday,Spring,2332.0,115
Fri,Westbound Centre Lane,art3,Weekday,Summer,2365.0,118
Fri,Westbound Centre Lane,art3,Weekday,Winter,1662.0,90
Fri,Westbound Centre Lane,art4,Weekday,Autumn,1635.0,110
Fri,Westbound Centre Lane,art4,Weekday,Spring,1559.0,115
Fri,Westbound Centre Lane,art4,Weekday,Summer,1708.0,118
Fri,Westbound Centre Lane,art4,Weekday,Winter,1260.0,90
Fri,Westbound Centre Lane,art5,Weekday,Autumn,355.0,110
Fri,Westbound Centre Lane,art5,Weekday,Spring,449.0,115
Fri,Westbound Centre Lane,art5,Weekday,Summer,461.0,118
Fri,Westbound Centre Lane,art5,Weekday,Winter,339.0,90
Fri,Westbound Centre Lane,art6,Weekday,Autumn,890.0,110
Fri,Westbound Centre Lane,art6,Weekday,Spring,1010.0,115
Fri,Westbound Centre Lane,art6,Weekday,Summer,1099.0,118
Fri,Westbound Centre Lane,art6,Weekday,Winter,819.0,90
Fri,Westbound Centre Lane,bd,Weekday,Autumn,182.0,110
Fri,Westbound Centre Lane,bd,Weekday,Spring,192.0,115
Fri,Westbound Centre Lane,bd,Weekday,Summer,179.0,118
Fri,Westbound Centre Lane,bd,Weekday,Winter,98.0,90
Fri,Westbound Centre Lane,drt,Weekday,Autumn,5.0,110
Fri,Westbound Centre Lane,drt,Weekday,Spring,7.0,115
Fri,Westbound Centre Lane,drt,Weekday,Summer,7.0,118
Fri,Westbound Centre Lane,drt,Weekday,Winter,5.0,90
Fri,Westbound Centre Lane,sv,Weekday,Autumn,1109835.0,110
Fri,Westbound Centre Lane,sv,Weekday,Spring,1234168.0,115
Fri,Westbound Centre Lane,sv,Weekday,Summer,1296626.0,118
Fri,Westbound Centre Lane,sv,Weekday,Winter,957242.0,90
Fri,Westbound Centre Lane,svt,Weekday,Autumn,10954.0,110
Fri,Westbound Centre Lane,svt,Weekday,Spring,11516.0,115
Fri,Westbound Centre Lane,svt,Weekday,Summer,13459.0,118
Fri,Westbound Centre Lane,svt,Weekday,Winter,8087.0,90
Fri,Westbound Centre Lane,t4,Weekday,Autumn,1192.0,110
Fri,Westbound Centre Lane,t4,Weekday,Spring,1142.0,115
Fri,Westbound Centre Lane,t4,Weekday,Summer,1213.0,118
Fri,Westbound Centre Lane,t4,Weekday,Winter,992.0,90
Fri,Westbound Centre Lane,tb2,Weekday,Autumn,87044.0,110
Fri,Westbound Centre Lane,tb2,Weekday,Spring,92879.0,115
Fri,Westbound Centre Lane,tb2,Weekday,Summer,94147.0,118
Fri,Westbound Centre Lane,tb2,Weekday,Winter,75790.0,90
Fri,Westbound Centre Lane,tb3,Weekday,Autumn,3026.0,110
Fri,Westbound Centre Lane,tb3,Weekday,Spring,3234.0,115
Fri,Westbound Centre Lane,tb3,Weekday,Summer,3347.0,118
Fri,Westbound Centre Lane,tb3,Weekday,Winter,2736.0,90
Fri,Westbound Centre Lane,total_flow,Weekday,Autumn,1217556.0,110
Fri,Westbound Centre Lane,total_flow,Weekday,Spring,1348700.0,115
Fri,Westbound Centre Lane,total_flow,Weekday,Summer,1414861.0,118
Fri,Westbound Centre Lane,total_flow,Weekday,Winter,1049209.0,90
Fri,Westbound Centre Lane,trt,Weekday,Autumn,0.0,110
Fri,Westbound Centre Lane,trt,Weekday,Spring,1.0,115
