month,direction,metric,weekpart,season,sum_flow,sample_count
Dec,Eastbound Centre Lane,tb2,All weeks,Summer,378808.0,39
Dec,Eastbound Centre Lane,tb3,All weeks,Summer,22882.0,39
Dec,Eastbound Centre Lane,total_flow,All weeks,Summer,5614026.0,39
Dec,Eastbound Centre Lane,trt,All weeks,Summer,0.0,39
Dec,Eastbound Centre Lane,ucv,All weeks,Summer,48.0,39
Dec,Eastbound Left Lane,art3,All weeks,Summer,1645.0,39
Dec,Eastbound Left Lane,art4,All weeks,Summer,982.0,39
Dec,Eastbound Left Lane,art5,All weeks,Summer,240.0,39
Dec,Eastbound Left Lane,art6,All weeks,Summer,650.0,39
Dec,Eastbound Left Lane,bd,All weeks,Summer,55.0,39
Dec,Eastbound Left Lane,drt,All weeks,Summer,1.0,39
Dec,Eastbound Left Lane,sv,All weeks,Summer,1345110.0,39
Dec,Eastbound Left Lane,svt,All weeks,Summer,8717.0,39
Dec,Eastbound Left Lane,t4,All weeks,Summer,971.0,39
Dec,Eastbound Left Lane,tb2,All weeks,Summer,70313.0,39
Dec,Eastbound Left Lane,tb3,All weeks,Summer,2083.0,39
Dec,Eastbound Left Lane,total_flow,All weeks,Summer,1430779.0,39
Dec,Eastbound Left Lane,trt,All weeks,Summer,0.0,39
Dec,Eastbound Left Lane,ucv,All weeks,Summer,12.0,39
Dec,Eastbound Right Lane,art3,All weeks,Summer,2503.0,39
Dec,Eastbound Right Lane,art4,All weeks,Summer,1826.0,39
Dec,Eastbound Right Lane,art5,All weeks,Summer,389.0,39
Dec,Eastbound Right Lane,art6,All weeks,Summer,1536.0,39
Dec,Eastbound Right Lane,bd,All weeks,Summer,228.0,39
Dec,Eastbound Right Lane,drt,All weeks,Summer,2.0,39
Dec,Eastbound Right Lane,sv,All weeks,Summer,2645567.0,39
Dec,Eastbound Right Lane,svt,All weeks,Summer,25708.0,39
Dec,Eastbound Right Lane,t4,All weeks,Summer,1085.0,39
Dec,Eastbound Right Lane,tb2,All weeks,Summer,141297.0,39
Dec,Eastbound Right Lane,tb3,All weeks,Summer,3350.0,39
Dec,Eastbound Right Lane,total_flow,All weeks,Summer,2823510.0,39
Dec,Eastbound Right Lane,trt,All weeks,Summer,0.0,39
Dec,Eastbound Right Lane,ucv,All weeks,Summer,19.0,39
Dec,Westbound Centre Lane,art3,All weeks,Summer,4336.0,39
Dec,Westbound Centre Lane,art4,All weeks,Summer,2767.0,39
Dec,Westbound Centre Lane,art5,All weeks,Summer,918.0,39
Dec,Westbound Centre Lane,art6,All weeks,Summer,1818.0,39
Dec,Westbound Centre Lane,bd,All weeks,Summer,307.0,39
Dec,Westbound Centre Lane,drt,All weeks,Summer,19.0,39
Dec,Westbound Centre Lane,sv,All weeks,Summer,2606470.0,39
Dec,Westbound Centre Lane,svt,All weeks,Summer,24494.0,39
Dec,Westbound Centre Lane,t4,All weeks,Summer,1938.0,39
Dec,Westbound Centre Lane,tb2,All weeks,Summer,175699.0,39
Dec,Westbound Centre Lane,tb3,All weeks,Summer,5794.0,39
Dec,Westbound Centre Lane,total_flow,All weeks,Summer,2825057.0,39
Dec,Westbound Centre Lane,trt,All weeks,Summer,4.0,39
Dec,Westbound Centre Lane,ucv,All weeks,Summer,493.0,39
Dec,Westbound Left Lane,art3,All weeks,Summer,12472.0,39
Dec,Westbound Left Lane,art4,All weeks,Summer,7521.0,39
Dec,Westbound Left Lane,art5,All weeks,Summer,3705.0,39
Dec,Westbound Left Lane,art6,All weeks,Summer,18548.0,39
Dec,Westbound Left Lane,bd,All weeks,Summer,3398.0,39
Dec,Westbound Left Lane,drt,All weeks,Summer,20.0,39
Dec,Westbound Left Lane,sv,All weeks,Summer,5693713.0,39
Dec,Westbound Left Lane,svt,All weeks,Summer,59343.0,39
Dec,Westbound Left Lane,t4,All weeks,Summer,9207.0,39
Dec,Westbound Left Lane,tb2,All weeks,Summer,449668.0,39
Dec,Westbound Left Lane,tb3,All weeks,Summer,23862.0,39
Dec,Westbound Left Lane,total_flow,All weeks,Summer,6281916.0,39
Dec,Westbound Left Lane,trt,All weeks,Summer,1.0,39
Dec,Westbound Left Lane,ucv,All weeks,Summer,458.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art3,All weeks,Summer,256.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art4,All weeks,Summer,139.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art5,All weeks,Summer,24.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art6,All weeks,Summer,43.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,bd,All weeks,Summer,3.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,drt,All weeks,Summer,0.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,sv,All weeks,Summer,345136.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,svt,All weeks,Summer,1526.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,t4,All weeks,Summer,54.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,tb2,All weeks,Summer,20948.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,tb3,All weeks,Summer,215.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,total_flow,All weeks,Summer,368368.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,trt,All weeks,Summer,0.0,39
Dec,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,ucv,All weeks,Summer,24.0,39
Feb,All directions,art3,All weeks,Summer,35297.0,37
Feb,All directions,art4,All weeks,Summer,25040.0,37
Feb,All directions,art5,All weeks,Summer,10476.0,37
Feb,All directions,art6,All weeks,Summer,51515.0,37
Feb,All directions,bd,All weeks,Summer,9992.0,37
Feb,All directions,drt,All weeks,Summer,83.0,37
Feb,All directions,sv,All weeks,Summer,17572923.0,37
Feb,All directions,svt,All weeks,Summer,187956.0,37
Feb,All directions,t4,All weeks,Summer,28034.0,37
Feb,All directions,tb2,All weeks,Summer,1317438.0,37
Feb,All directions,tb3,All weeks,Summer,66725.0,37
Feb,All directions,total_flow,All weeks,Summer,19306586.0,37
Feb,All directions,trt,All weeks,Summer,2.0,37
Feb,All directions,ucv,All weeks,Summer,1105.0,37
Feb,Eastbound Centre Lane,art3,All weeks,Summer,12439.0,37
Feb,Eastbound Centre Lane,art4,All weeks,Summer,8807.0,37
Feb,Eastbound Centre Lane,art5,All weeks,Summer,4537.0,37
Feb,Eastbound Centre Lane,art6,All weeks,Summer,25046.0,37
Feb,Eastbound Centre Lane,bd,All weeks,Summer,4731.0,37
Feb,Eastbound Centre Lane,drt,All weeks,Summer,17.0,37
Feb,Eastbound Centre Lane,sv,All weeks,Summer,4918785.0,37
Feb,Eastbound Centre Lane,svt,All weeks,Summer,58460.0,37
Feb,Eastbound Centre Lane,t4,All weeks,Summer,11658.0,37
Feb,Eastbound Centre Lane,tb2,All weeks,Summer,395420.0,37
Feb,Eastbound Centre Lane,tb3,All weeks,Summer,26186.0,37
Feb,Eastbound Centre Lane,total_flow,All weeks,Summer,5466139.0,37
Feb,Eastbound Centre Lane,trt,All weeks,Summer,0.0,37
Feb,Eastbound Centre Lane,ucv,All weeks,Summer,53.0,37
Feb,Eastbound Left Lane,art3,All weeks,Summer,1678.0,37
Feb,Eastbound Left Lane,art4,All weeks,Summer,1225.0,37
Feb,Eastbound Left Lane,art5,All weeks,Summer,232.0,37
Feb,Eastbound Left Lane,art6,All weeks,Summer,867.0,37
Feb,Eastbound Left Lane,bd,All weeks,Summer,102.0,37
Feb,Eastbound Left Lane,drt,All weeks,Summer,0.0,37
Feb,Eastbound Left Lane,sv,All weeks,Summer,1387676.0,37
Feb,Eastbound Left Lane,svt,All weeks,Summer,9909.0,37
Feb,Eastbound Left Lane,t4,All weeks,Summer,1219.0,37
Feb,Eastbound Left Lane,tb2,All weeks,Summer,78659.0,37
Feb,Eastbound Left Lane,tb3,All weeks,Summer,2678.0,37
Feb,Eastbound Left Lane,total_flow,All weeks,Summer,1484255.0,37
Feb,Eastbound Left Lane,trt,All weeks,Summer,0.0,37
Feb,Eastbound Left Lane,ucv,All weeks,Summer,10.0,37
Feb,Eastbound Right Lane,art3,All weeks,Summer,2772.0,37
Feb,Eastbound Right Lane,art4,All weeks,Summer,2198.0,37
Feb,Eastbound Right Lane,art5,All weeks,Summer,516.0,37
Feb,Eastbound Right Lane,art6,All weeks,Summer,2301.0,37
Feb,Eastbound Right Lane,bd,All weeks,Summer,280.0,37
Feb,Eastbound Right Lane,drt,All weeks,Summer,2.0,37
Feb,Eastbound Right Lane,sv,All weeks,Summer,2701042.0,37
Feb,Eastbound Right Lane,svt,All weeks,Summer,27854.0,37
Feb,Eastbound Right Lane,t4,All weeks,Summer,1492.0,37
Feb,Eastbound Right Lane,tb2,All weeks,Summer,148809.0,37
Feb,Eastbound Right Lane,tb3,All weeks,Summer,4158.0,37
Feb,Eastbound Right Lane,total_flow,All weeks,Summer,2891452.0,37
Feb,Eastbound Right Lane,trt,All weeks,Summer,0.0,37
Feb,Eastbound Right Lane,ucv,All weeks,Summer,28.0,37
Feb,Westbound Centre Lane,art3,All weeks,Summer,4873.0,37
Feb,Westbound Centre Lane,art4,All weeks,Summer,3612.0,37
Feb,Westbound Centre Lane,art5,All weeks,Summer,1195.0,37
Feb,Westbound Centre Lane,art6,All weeks,Summer,2165.0,37
Feb,Westbound Centre Lane,bd,All weeks,Summer,416.0,37
Feb,Westbound Centre Lane,drt,All weeks,Summer,19.0,37
Feb,Westbound Centre Lane,sv,All weeks,Summer,2624690.0,37
Feb,Westbound Centre Lane,svt,All weeks,Summer,27733.0,37
Feb,Westbound Centre Lane,t4,All weeks,Summer,2386.0,37
Feb,Westbound Centre Lane,tb2,All weeks,Summer,191887.0,37
Feb,Westbound Centre Lane,tb3,All weeks,Summer,6753.0,37
Feb,Westbound Centre Lane,total_flow,All weeks,Summer,2866253.0,37
Feb,Westbound Centre Lane,trt,All weeks,Summer,2.0,37
Feb,Westbound Centre Lane,ucv,All weeks,Summer,522.0,37
Feb,Westbound Left Lane,art3,All weeks,Summer,13102.0,37
Feb,Westbound Left Lane,art4,All weeks,Summer,8969.0,37
Feb,Westbound Left Lane,art5,All weeks,Summer,3960.0,37
Feb,Westbound Left Lane,art6,All weeks,Summer,21056.0,37
Feb,Westbound Left Lane,bd,All weeks,Summer,4452.0,37
Feb,Westbound Left Lane,drt,All weeks,Summer,44.0,37
Feb,Westbound Left Lane,sv,All weeks,Summer,5447242.0,37
Feb,Westbound Left Lane,svt,All weeks,Summer,61609.0,37
Feb,Westbound Left Lane,t4,All weeks,Summer,11177.0,37
Feb,Westbound Left Lane,tb2,All weeks,Summer,472273.0,37
Feb,Westbound Left Lane,tb3,All weeks,Summer,26579.0,37
Feb,Westbound Left Lane,total_flow,All weeks,Summer,6070928.0,37
Feb,Westbound Left Lane,trt,All weeks,Summer,0.0,37
Feb,Westbound Left Lane,ucv,All weeks,Summer,465.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art3,All weeks,Summer,433.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art4,All weeks,Summer,229.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art5,All weeks,Summer,36.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,art6,All weeks,Summer,80.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,bd,All weeks,Summer,11.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,drt,All weeks,Summer,1.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,sv,All weeks,Summer,493488.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,svt,All weeks,Summer,2391.0,37
Feb,Westbound Right Lane (Tidal Flow 7:00am - 9:00am W,t4,All weeks,Summer,102.0,37
