time_bin,direction,metric,weekpart,season,sum_flow,sample_count
00:00,Eastbound Left Lane,bd,Weekend,Spring,0.0,227
00:00,Eastbound Left Lane,bd,Weekend,Summer,0.0,232
00:00,Eastbound Left Lane,bd,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,drt,Weekday,Autumn,0.0,427
00:00,Eastbound Left Lane,drt,Weekday,Spring,0.0,467
00:00,Eastbound Left Lane,drt,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,drt,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,drt,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,drt,Weekend,Spring,0.0,227
00:00,Eastbound Left Lane,drt,Weekend,Summer,0.0,232
00:00,Eastbound Left Lane,drt,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,sv,Weekday,Autumn,881.0,427
00:00,Eastbound Left Lane,sv,Weekday,Spring,961.0,467
00:00,Eastbound Left Lane,sv,Weekday,Summer,1361.0,509
00:00,Eastbound Left Lane,sv,Weekday,Winter,735.0,352
00:00,Eastbound Left Lane,sv,Weekend,Autumn,1005.0,209
00:00,Eastbound Left Lane,sv,Weekend,Spring,1190.0,227
00:00,Eastbound Left Lane,sv,Weekend,Summer,1373.0,232
00:00,Eastbound Left Lane,sv,Weekend,Winter,913.0,177
00:00,Eastbound Left Lane,svt,Weekday,Autumn,0.0,427
00:00,Eastbound Left Lane,svt,Weekday,Spring,2.0,467
00:00,Eastbound Left Lane,svt,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,svt,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,svt,Weekend,Autumn,1.0,209
00:00,Eastbound Left Lane,svt,Weekend,Spring,1.0,227
00:00,Eastbound Left Lane,svt,Weekend,Summer,1.0,232
00:00,Eastbound Left Lane,svt,Weekend,Winter,1.0,177
00:00,Eastbound Left Lane,t4,Weekday,Autumn,0.0,427
00:00,Eastbound Left Lane,t4,Weekday,Spring,0.0,467
00:00,Eastbound Left Lane,t4,Weekday,Summer,1.0,509
00:00,Eastbound Left Lane,t4,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,t4,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,t4,Weekend,Spring,0.0,227
00:00,Eastbound Left Lane,t4,Weekend,Summer,0.0,232
00:00,Eastbound Left Lane,t4,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,tb2,Weekday,Autumn,23.0,427
00:00,Eastbound Left Lane,tb2,Weekday,Spring,37.0,467
00:00,Eastbound Left Lane,tb2,Weekday,Summer,28.0,509
00:00,Eastbound Left Lane,tb2,Weekday,Winter,11.0,352
00:00,Eastbound Left Lane,tb2,Weekend,Autumn,25.0,209
00:00,Eastbound Left Lane,tb2,Weekend,Spring,24.0,227
00:00,Eastbound Left Lane,tb2,Weekend,Summer,37.0,232
00:00,Eastbound Left Lane,tb2,Weekend,Winter,18.0,177
00:00,Eastbound Left Lane,tb3,Weekday,Autumn,0.0,427
00:00,Eastbound Left Lane,tb3,Weekday,Spring,2.0,467
00:00,Eastbound Left Lane,tb3,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,tb3,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,tb3,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,tb3,Weekend,Spring,0.0,227
00:00,Eastbound Left Lane,tb3,Weekend,Summer,0.0,232
00:00,Eastbound Left Lane,tb3,Weekend,Winter,0.0,177
00:00,Eastbound Left Lane,total_flow,Weekday,Autumn,908.0,427
00:00,Eastbound Left Lane,total_flow,Weekday,Spring,1004.0,467
00:00,Eastbound Left Lane,total_flow,Weekday,Summer,1391.0,509
00:00,Eastbound Left Lane,total_flow,Weekday,Winter,747.0,352
00:00,Eastbound Left Lane,total_flow,Weekend,Autumn,1031.0,209
00:00,Eastbound Left Lane,total_flow,Weekend,Spring,1217.0,227
00:00,Eastbound Left Lane,total_flow,Weekend,Summer,1411.0,232
00:00,Eastbound Left Lane,total_flow,Weekend,Winter,932.0,177
00:00,Eastbound Left Lane,trt,Weekday,Autumn,0.0,427
00:00,Eastbound Left Lane,trt,Weekday,Spring,0.0,467
00:00,Eastbound Left Lane,trt,Weekday,Summer,0.0,509
00:00,Eastbound Left Lane,trt,Weekday,Winter,0.0,352
00:00,Eastbound Left Lane,trt,Weekend,Autumn,0.0,209
00:00,Eastbound Left Lane,trt,Weekend,Spring,0.0,227
00:00,Eastbound Left Lane,trt,Weekend,Summer,0.0,232
