weekday,direction,metric,weekpart,season,sum_flow,sample_count
Tue,Southern Shared Path Westbound,pcl,Weekday,Autumn,902.0,13
Tue,Southern Shared Path Westbound,pcl,Weekday,Spring,2270.0,32
Tue,Southern Shared Path Westbound,pcl,Weekday,Summer,2094.0,28
Tue,Southern Shared Path Westbound,pcl,Weekday,Winter,737.0,13
Tue,Southern Shared Path Westbound,ped,Weekday,Autumn,334.0,13
Tue,Southern Shared Path Westbound,ped,Weekday,Spring,522.0,32
Tue,Southern Shared Path Westbound,ped,Weekday,Summer,622.0,28
Tue,Southern Shared Path Westbound,ped,Weekday,Winter,205.0,13
Tue,Southern Shared Path Westbound,total_flow,Weekday,Autumn,1236.0,13
Tue,Southern Shared Path Westbound,total_flow,Weekday,Spring,2792.0,32
Tue,Southern Shared Path Westbound,total_flow,Weekday,Summer,2716.0,28
Tue,Southern Shared Path Westbound,total_flow,Weekday,Winter,942.0,13
Wed,All directions,pcl,Weekday,Autumn,2711.0,13
Wed,All directions,pcl,Weekday,Spring,6654.0,32
Wed,All directions,pcl,Weekday,Summer,5949.0,27
Wed,All directions,pcl,Weekday,Winter,2304.0,13
Wed,All directions,ped,Weekday,Autumn,815.0,13
Wed,All directions,ped,Weekday,Spring,1668.0,32
Wed,All directions,ped,Weekday,Summer,1838.0,27
Wed,All directions,ped,Weekday,Winter,438.0,13
Wed,All directions,total_flow,Weekday,Autumn,3526.0,13
Wed,All directions,total_flow,Weekday,Spring,8322.0,32
Wed,All directions,total_flow,Weekday,Summer,7787.0,27
Wed,All directions,total_flow,Weekday,Winter,2742.0,13
Wed,Northern Shared Path Eastbound,pcl,Weekday,Autumn,732.0,13
Wed,Northern Shared Path Eastbound,pcl,Weekday,Spring,1784.0,32
Wed,Northern Shared Path Eastbound,pcl,Weekday,Summer,1522.0,27
Wed,Northern Shared Path Eastbound,pcl,Weekday,Winter,593.0,13
Wed,Northern Shared Path Eastbound,ped,Weekday,Autumn,151.0,13
Wed,Northern Shared Path Eastbound,ped,Weekday,Spring,285.0,32
Wed,Northern Shared Path Eastbound,ped,Weekday,Summer,321.0,27
Wed,Northern Shared Path Eastbound,ped,Weekday,Winter,73.0,13
Wed,Northern Shared Path Eastbound,total_flow,Weekday,Autumn,883.0,13
Wed,Northern Shared Path Eastbound,total_flow,Weekday,Spring,2069.0,32
Wed,Northern Shared Path Eastbound,total_flow,Weekday,Summer,1843.0,27
Wed,Northern Shared Path Eastbound,total_flow,Weekday,Winter,666.0,13
Wed,Northern Shared Path Westbound,pcl,Weekday,Autumn,489.0,13
Wed,Northern Shared Path Westbound,pcl,Weekday,Spring,1168.0,32
Wed,Northern Shared Path Westbound,pcl,Weekday,Summer,968.0,27
Wed,Northern Shared Path Westbound,pcl,Weekday,Winter,417.0,13
Wed,Northern Shared Path Westbound,ped,Weekday,Autumn,166.0,13
Wed,Northern Shared Path Westbound,ped,Weekday,Spring,428.0,32
Wed,Northern Shared Path Westbound,ped,Weekday,Summer,342.0,27
Wed,Northern Shared Path Westbound,ped,Weekday,Winter,77.0,13
Wed,Northern Shared Path Westbound,total_flow,Weekday,Autumn,655.0,13
Wed,Northern Shared Path Westbound,total_flow,Weekday,Spring,1596.0,32
Wed,Northern Shared Path Westbound,total_flow,Weekday,Summer,1310.0,27
