date,time_bin,direction,total_flow,ped,pcl
2023-09-01,02:40,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:45,All directions,2.0,2.0,0.0
2023-09-01,02:45,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:45,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:45,Southern Shared Path Eastbound,2.0,2.0,0.0
2023-09-01,02:45,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:50,All directions,1.0,1.0,0.0
2023-09-01,02:50,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:50,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:50,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,02:50,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:55,All directions,0.0,0.0,0.0
2023-09-01,02:55,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:55,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,02:55,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,02:55,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:00,All directions,2.0,2.0,0.0
2023-09-01,03:00,Northern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,03:00,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:00,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,03:00,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:05,All directions,0.0,0.0,0.0
2023-09-01,03:05,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:05,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:05,Southern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:05,Southern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:10,All directions,1.0,1.0,0.0
2023-09-01,03:10,Northern Shared Path Eastbound,0.0,0.0,0.0
2023-09-01,03:10,Northern Shared Path Westbound,0.0,0.0,0.0
2023-09-01,03:10,Southern Shared Path Eastbound,1.0,1.0,0.0
2023-09-01,03:10,Southern Shared Path Westbound,0.0,0.0,0.0
